sku,invoice_number,invoice_date_parsed,item_number,item_title,category,qty,bid_amount,msrp,bid_to_msrp_ratio,discount_pct,line_cost,projected_sale_price_per_unit,projected_revenue,projected_profit
SKU0329,073124-3501-182566,2024-07-31,233,Amazon Basics Room Darkening Blackout Window Curtain,Bedding & Textiles,1.0,5.0,32.7,0.1529051987767584,0.8470948012232415,5.0,22.89,22.89,17.89
SKU0325,080824-3501-183862,2024-08-08,490,Grid Arched 2-Tier Basket Server Bowls for Storage,Home Decor,1.0,5.0,27.26,0.1834189288334556,0.8165810711665444,5.0,19.082,19.082,14.082
SKU0326,080824-3501-183862,2024-08-08,523,Set of 3 Painted Glasses,Miscellaneous,1.0,1.0,,,,1.0,1.5,1.5,0.5
SKU0304,081424-3501-184550,2024-08-14,119,"iwillink 48 Port, RJ45 Through Coupler Cat6 Patch Panel, 2U",Pet Supplies,1.0,5.0,75.99,0.06579813133307015,0.9342018686669299,5.0,53.19299999999999,53.19299999999999,48.19299999999999
SKU0305,081424-3501-184550,2024-08-14,138,"Neewer Heavy Duty Light Stand with Casters, Adjustable",Lighting & Electrical,1.0,26.0,159.99,0.1625101568848053,0.8374898431151947,26.0,111.993,111.993,85.993
SKU0306,081424-3501-184550,2024-08-14,147,Madison Park Pansy Grey Tufted Chenille Bedding,Bedding & Textiles,1.0,13.0,,,,13.0,19.5,19.5,6.5
SKU0307,081424-3501-184550,2024-08-14,151,Wall Sconce,Lighting & Electrical,1.0,8.0,,,,8.0,12.0,12.0,4.0
SKU0308,081424-3501-184550,2024-08-14,172,2 Pack Vantage 14.875-in W x 62.875-in H Charcoal Exterior,Miscellaneous,1.0,5.0,100.3,0.049850448654037885,0.9501495513459621,5.0,70.21,70.21,65.21
SKU0309,081424-3501-184550,2024-08-14,181,"JOPHUN Handrails for Outdoor, Garden, Yard or Porch",Miscellaneous,1.0,6.0,,,,6.0,9.0,9.0,3.0
SKU0310,081424-3501-184550,2024-08-14,184,"Regency Fusion Wire Management C-Leg Base, Black",Miscellaneous,1.0,11.0,157.6,0.06979695431472081,0.9302030456852792,11.0,110.32,110.32,99.32
SKU0311,081424-3501-184550,2024-08-14,185,MSI 12 In. X 24 In. Heavy Duty Carbon Matte Floor And Wall,Bedding & Textiles,1.0,9.0,67.48,0.13337285121517486,0.8666271487848252,9.0,47.236,47.236,38.236
SKU0312,081424-3501-184550,2024-08-14,188,11x14 Picture Frame Blue (1 Pack),Home Decor,1.0,3.0,,,,3.0,4.5,4.5,1.5
SKU0313,081424-3501-184550,2024-08-14,189,Humble + Haute Sunbrella Canvas Navy Seat Cushion,Home Decor,1.0,3.0,,,,3.0,4.5,4.5,1.5
SKU0314,081424-3501-184550,2024-08-14,191,Dorman 749-508 Front Driver Side Power Window Regulator,Tools & Hardware,1.0,3.0,47.62,0.06299874002519949,0.9370012599748005,3.0,33.333999999999996,33.333999999999996,30.333999999999996
SKU0315,081424-3501-184550,2024-08-14,192,Welcome Seashell | All Weather Heavy Duty Mat | 100%,Bedding & Textiles,1.0,4.0,24.99,0.1600640256102441,0.8399359743897559,4.0,17.493,17.493,13.492999999999999
SKU0316,081424-3501-184550,2024-08-14,206,8 Pack Black LED Wall Sconce Indoor Cool White 6000K,Lighting & Electrical,1.0,20.0,175.99,0.11364282061480765,0.8863571793851923,20.0,123.193,123.193,103.193
SKU0317,081424-3501-184550,2024-08-14,211,Kichler Lighting Telford Collection 3-light Brushed Nickel,Lighting & Electrical,1.0,6.0,109.95,0.054570259208731244,0.9454297407912687,6.0,76.965,76.965,70.965
